
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.540]   Hey
[00:01:32.460 --> 00:01:32.640]   one
[00:01:32.640 --> 00:01:32.810]   of
[00:01:32.810 --> 00:01:33.070]   the
[00:01:33.070 --> 00:01:33.410]   most
[00:01:33.410 --> 00:01:34.190]   difficult
[00:01:34.190 --> 00:01:35.400]   pronunciation
[00:01:35.400 --> 00:01:35.980]   aspects
[00:01:35.980 --> 00:01:36.120]   of
[00:01:36.120 --> 00:01:36.680]   English
[00:01:36.680 --> 00:01:36.970]  ,
[00:01:36.970 --> 00:01:37.000]   so
[00:01:37.000 --> 00:01:37.080]   I
[00:01:37.080 --> 00:01:37.240]  'm
[00:01:37.240 --> 00:01:37.640]   happy
[00:01:37.640 --> 00:01:38.020]   that
[00:01:38.020 --> 00:01:38.120]   we
[00:01:38.120 --> 00:01:38.360]   are
[00:01:38.360 --> 00:01:39.000]   covering
[00:01:39.000 --> 00:01:39.320]   this
[00:01:39.320 --> 00:01:39.720]   topic
[00:01:39.720 --> 00:01:40.180]   today
[00:01:40.180 --> 00:01:40.440]  .
[00:01:40.440 --> 00:01:40.810]   Yeah
[00:01:40.810 --> 00:01:41.130]  ,
[00:01:41.130 --> 00:01:41.190]   me
[00:01:41.190 --> 00:01:41.470]   too
[00:01:41.470 --> 00:01:41.650]  ,
[00:01:41.650 --> 00:01:42.010]   and
[00:01:42.010 --> 00:01:42.020]   I
[00:01:42.020 --> 00:01:42.400]   hope
[00:01:42.400 --> 00:01:42.950]   that
[00:01:42.950 --> 00:01:43.030]   it
[00:01:43.030 --> 00:01:43.160]   at
[00:01:43.160 --> 00:01:43.630]   least
[00:01:43.630 --> 00:01:44.100]   gives
[00:01:44.100 --> 00:01:44.670]   people
[00:01:44.670 --> 00:01:44.760]   a
[00:01:44.760 --> 00:01:45.590]   little
[00:01:45.590 --> 00:01:46.320]   motivation
[00:01:46.320 --> 00:01:46.460]  ,
[00:01:46.460 --> 00:01:46.740]   you
[00:01:46.740 --> 00:01:47.200]   know
[00:01:47.200 --> 00:01:47.440]  ,
[00:01:47.440 --> 00:01:47.450]  
[00:01:47.450 --> 00:01:47.780]   some
[00:01:47.780 --> 00:01:48.230]   quick
[00:01:48.230 --> 00:01:48.670]   tools
[00:01:48.670 --> 00:01:49.020]   that
[00:01:49.020 --> 00:01:49.280]   you
[00:01:49.280 --> 00:01:49.540]   can
[00:01:49.540 --> 00:01:49.970]   use
[00:01:49.970 --> 00:01:50.070]   and
[00:01:50.070 --> 00:01:50.500]   apply
[00:01:50.500 --> 00:01:50.670]  ,
[00:01:50.670 --> 00:01:50.930]   and
[00:01:50.930 --> 00:01:51.300]   don
[00:01:51.300 --> 00:01:51.360]  't
[00:01:51.360 --> 00:01:51.530]   be
[00:01:51.530 --> 00:01:52.220]   worried
[00:01:52.220 --> 00:01:52.500]   that
[00:01:52.500 --> 00:01:52.900]   it
[00:01:52.900 --> 00:01:53.110]   doesn
[00:01:53.110 --> 00:01:53.280]  't
[00:01:53.280 --> 00:01:53.760]   work
[00:01:53.760 --> 00:01:54.300]   right
[00:01:54.300 --> 00:01:54.740]   away
[00:01:54.740 --> 00:01:54.940]  ,
[00:01:54.940 --> 00:01:55.150]   it
[00:01:55.150 --> 00:01:55.360]  's
[00:01:55.360 --> 00:01:55.470]   a
[00:01:55.470 --> 00:01:56.350]   process
[00:01:56.350 --> 00:01:56.600]  .
[00:01:56.600 --> 00:01:57.070]   Yeah
[00:01:57.070 --> 00:01:57.300]  ,
[00:01:57.300 --> 00:01:57.530]   so
[00:01:57.530 --> 00:01:58.000]   this
[00:01:58.000 --> 00:01:58.230]   is
[00:01:58.230 --> 00:01:58.700]   kind
[00:01:58.700 --> 00:01:59.040]   of
[00:01:59.040 --> 00:01:59.220]   a
[00:01:59.220 --> 00:01:59.620]   first
[00:01:59.620 --> 00:02:00.090]   step
[00:02:00.090 --> 00:02:00.560]   into
[00:02:00.560 --> 00:02:00.910]   how
[00:02:00.910 --> 00:02:01.140]   to
[00:02:01.140 --> 00:02:01.600]   both
[00:02:01.600 --> 00:02:02.080]   here
[00:02:02.080 --> 00:02:02.440]   and
[00:02:02.440 --> 00:02:03.480]   pronounce
[00:02:03.480 --> 00:02:03.830]   the
[00:02:03.830 --> 00:02:05.200]   differences
[00:02:05.200 --> 00:02:06.350]   between
[00:02:06.350 --> 00:02:06.530]   R
[00:02:06.530 --> 00:02:07.000]   and
[00:02:07.000 --> 00:02:07.160]   L
[00:02:07.160 --> 00:02:07.680]  .
[00:02:07.680 --> 00:02:08.120]   Yeah
[00:02:08.120 --> 00:02:08.360]  ,
[00:02:08.360 --> 00:02:08.880]   but
[00:02:08.880 --> 00:02:09.330]   before
[00:02:09.330 --> 00:02:09.550]   we
[00:02:09.550 --> 00:02:09.980]   jump
[00:02:09.980 --> 00:02:10.430]   into
[00:02:10.430 --> 00:02:10.760]   our
[00:02:10.760 --> 00:02:11.310]   topic
[00:02:11.310 --> 00:02:11.540]  ,
[00:02:11.540 --> 00:02:11.860]   the
[00:02:11.860 --> 00:02:11.970]   R
[00:02:11.970 --> 00:02:12.300]   and
[00:02:12.300 --> 00:02:12.620]   the
[00:02:12.620 --> 00:02:12.740]   L
[00:02:12.740 --> 00:02:13.140]  ,
[00:02:13.140 --> 00:02:13.180]   we
[00:02:13.180 --> 00:02:13.400]  'd
[00:02:13.400 --> 00:02:13.840]   like
[00:02:13.840 --> 00:02:14.050]   to
[00:02:14.050 --> 00:02:14.710]   remind
[00:02:14.710 --> 00:02:15.050]   you
[00:02:15.050 --> 00:02:15.520]   guys
[00:02:15.520 --> 00:02:15.530]  
[00:02:15.530 --> 00:02:16.030]   that
[00:02:16.030 --> 00:02:16.410]   the
[00:02:16.410 --> 00:02:16.920]   best
[00:02:16.920 --> 00:02:17.300]   way
[00:02:17.300 --> 00:02:17.550]   to
[00:02:17.550 --> 00:02:18.190]   study
[00:02:18.190 --> 00:02:18.700]   with
[00:02:18.700 --> 00:02:18.910]   Q
[00:02:18.910 --> 00:02:18.950]  -
[00:02:18.950 --> 00:02:19.070]  L
[00:02:19.070 --> 00:02:19.450]  ips
[00:02:19.450 --> 00:02:19.830]   and
[00:02:19.830 --> 00:02:20.340]   this
[00:02:20.340 --> 00:02:21.240]   episode
[00:02:21.240 --> 00:02:21.490]   is
[00:02:21.490 --> 00:02:21.740]   to
[00:02:21.740 --> 00:02:22.770]   download
[00:02:22.770 --> 00:02:23.560]   the
[00:02:23.560 --> 00:02:23.790]   study
[00:02:23.790 --> 00:02:24.560]   guide
[00:02:24.560 --> 00:02:24.880]   for
[00:02:24.880 --> 00:02:25.300]   this
[00:02:25.300 --> 00:02:26.130]   episode
[00:02:26.130 --> 00:02:26.250]  ,
[00:02:26.250 --> 00:02:26.460]   so
[00:02:26.460 --> 00:02:26.780]   you
[00:02:26.780 --> 00:02:27.180]   can
[00:02:27.180 --> 00:02:27.310]   go
[00:02:27.310 --> 00:02:27.520]   to
[00:02:27.520 --> 00:02:27.620]   Q
[00:02:27.620 --> 00:02:27.720]  l
[00:02:27.720 --> 00:02:28.040]  ips
[00:02:28.040 --> 00:02:28.420]  .
[00:02:28.420 --> 00:02:28.680]  com
[00:02:28.680 --> 00:02:29.000]   and
[00:02:29.000 --> 00:02:30.020]   download
[00:02:30.020 --> 00:02:30.170]   the
[00:02:30.170 --> 00:02:30.700]   study
[00:02:30.700 --> 00:02:31.230]   guide
[00:02:31.230 --> 00:02:31.550]   for
[00:02:31.550 --> 00:02:32.070]   this
[00:02:32.070 --> 00:02:32.800]   episode
[00:02:32.800 --> 00:02:32.960]  .
[00:02:32.960 --> 00:02:33.160]   It
[00:02:33.160 --> 00:02:33.640]   will
[00:02:33.640 --> 00:02:34.010]   have
[00:02:34.010 --> 00:02:34.110]   a
[00:02:34.110 --> 00:02:34.530]   lot
[00:02:34.530 --> 00:02:34.630]   of
[00:02:34.630 --> 00:02:35.150]   great
[00:02:35.150 --> 00:02:36.350]   information
[00:02:36.350 --> 00:02:36.610]   and
[00:02:36.610 --> 00:02:37.530]   exercises
[00:02:37.530 --> 00:02:37.850]   for
[00:02:37.850 --> 00:02:38.170]   you
[00:02:38.170 --> 00:02:38.420]   to
[00:02:38.420 --> 00:02:39.260]   practice
[00:02:39.260 --> 00:02:39.600]  .
[00:02:39.600 --> 00:02:40.180]   Okay
[00:02:40.180 --> 00:02:40.460]  ,
[00:02:40.460 --> 00:02:41.470]   perfect
[00:02:41.470 --> 00:02:41.920]  .
[00:02:41.920 --> 00:02:41.930]  
[00:02:41.930 --> 00:02:42.090]   So
[00:02:42.090 --> 00:02:42.380]   Sue
[00:02:42.380 --> 00:02:42.610]  ,
[00:02:42.610 --> 00:02:42.650]   I
[00:02:42.650 --> 00:02:43.120]   know
[00:02:43.120 --> 00:02:43.670]   through
[00:02:43.670 --> 00:02:43.850]   my
[00:02:43.850 --> 00:02:44.790]   experience
[00:02:44.790 --> 00:02:45.540]   learning
[00:02:45.540 --> 00:02:46.110]   Korean
[00:02:46.110 --> 00:02:46.380]   and
[00:02:46.380 --> 00:02:46.750]   also
[00:02:46.750 --> 00:02:47.500]   learning
[00:02:47.500 --> 00:02:48.060]   French
[00:02:48.060 --> 00:02:48.150]   a
[00:02:48.150 --> 00:02:48.800]   little
[00:02:48.800 --> 00:02:49.100]   bit
[00:02:49.100 --> 00:02:49.500]   that
[00:02:49.500 --> 00:02:49.900]   when
[00:02:49.900 --> 00:02:50.200]   you
[00:02:50.200 --> 00:02:50.500]  're
[00:02:50.500 --> 00:02:51.330]   learning
[00:02:51.330 --> 00:02:51.430]   a
[00:02:51.430 --> 00:02:51.710]   new
[00:02:51.710 --> 00:02:52.520]   language
[00:02:52.520 --> 00:02:52.720]  ,
[00:02:52.720 --> 00:02:53.020]   you
[00:02:53.020 --> 00:02:53.320]  're
[00:02:53.320 --> 00:02:53.750]   going
[00:02:53.750 --> 00:02:54.260]   to
[00:02:54.260 --> 00:02:54.940]   encounter
[00:02:54.940 --> 00:02:55.550]   sounds
[00:02:55.550 --> 00:02:55.970]   that
[00:02:55.970 --> 00:02:56.360]   are
[00:02:56.360 --> 00:02:56.590]   not
[00:02:56.590 --> 00:02:56.740]   in
[00:02:56.740 --> 00:02:57.050]   your
[00:02:57.050 --> 00:02:57.560]   native
[00:02:57.560 --> 00:02:58.110]   language
[00:02:58.110 --> 00:02:58.360]  .
[00:02:58.360 --> 00:02:58.690]   You
[00:02:58.690 --> 00:02:59.130]   have
[00:02:59.130 --> 00:02:59.400]   to
[00:02:59.400 --> 00:02:59.930]   learn
[00:02:59.930 --> 00:03:00.010]   a
[00:03:00.010 --> 00:03:00.560]   whole
[00:03:00.560 --> 00:03:00.990]   new
[00:03:00.990 --> 00:03:01.330]   phon
[00:03:01.330 --> 00:03:02.220]  ological
[00:03:02.220 --> 00:03:02.890]   system
[00:03:02.890 --> 00:03:03.280]  .
[00:03:03.280 --> 00:03:03.700]   There
[00:03:03.700 --> 00:03:03.860]  's
[00:03:03.860 --> 00:03:04.140]   new
[00:03:04.140 --> 00:03:04.360]   and
[00:03:04.360 --> 00:03:04.850]   novel
[00:03:04.850 --> 00:03:05.120]   ways
[00:03:05.120 --> 00:03:05.290]   to
[00:03:05.290 --> 00:03:06.050]   pronounce
[00:03:06.050 --> 00:03:06.670]   certain
[00:03:06.670 --> 00:03:07.150]   sounds
[00:03:07.150 --> 00:03:07.490]   that
[00:03:07.490 --> 00:03:07.830]   your
[00:03:07.830 --> 00:03:08.230]   mouth
[00:03:08.230 --> 00:03:08.740]   and
[00:03:08.740 --> 00:03:08.840]   your
[00:03:08.840 --> 00:03:09.240]   ears
[00:03:09.240 --> 00:03:09.600]   are
[00:03:09.600 --> 00:03:09.880]   just
[00:03:09.880 --> 00:03:10.120]   not
[00:03:10.120 --> 00:03:10.460]   used
[00:03:10.460 --> 00:03:10.600]   to
[00:03:10.600 --> 00:03:10.760]  ,
[00:03:10.760 --> 00:03:11.170]   right
[00:03:11.170 --> 00:03:11.440]  ?
[00:03:11.440 --> 00:03:11.450]  
[00:03:11.450 --> 00:03:12.200]   Absolutely
[00:03:12.200 --> 00:03:12.440]  .
[00:03:12.440 --> 00:03:12.610]   It
[00:03:12.610 --> 00:03:12.780]  's
[00:03:12.780 --> 00:03:13.120]   just
[00:03:13.120 --> 00:03:13.640]   like
[00:03:13.640 --> 00:03:14.140]   learning
[00:03:14.140 --> 00:03:14.380]   new
[00:03:14.380 --> 00:03:15.240]   vocabulary
[00:03:15.240 --> 00:03:15.660]   words
[00:03:15.660 --> 00:03:15.960]  .
[00:03:15.960 --> 00:03:16.200]   We
[00:03:16.200 --> 00:03:16.690]   also
[00:03:16.690 --> 00:03:17.180]   have
[00:03:17.180 --> 00:03:17.340]   a
[00:03:17.340 --> 00:03:17.790]   kind
[00:03:17.790 --> 00:03:18.030]   of
[00:03:18.030 --> 00:03:18.640]   sound
[00:03:18.640 --> 00:03:19.870]   vocabulary
[00:03:19.870 --> 00:03:20.240]   and
[00:03:20.240 --> 00:03:21.420]   sometimes
[00:03:21.420 --> 00:03:21.960]   those
[00:03:21.960 --> 00:03:22.700]   sounds
[00:03:22.700 --> 00:03:23.130]   are
[00:03:23.130 --> 00:03:23.470]   not
[00:03:23.470 --> 00:03:24.010]   the
[00:03:24.010 --> 00:03:24.360]   same
[00:03:24.360 --> 00:03:25.000]   in
[00:03:25.000 --> 00:03:25.520]   every
[00:03:25.520 --> 00:03:26.260]   language
[00:03:26.260 --> 00:03:26.560]  .
[00:03:26.560 --> 00:03:26.780]   So
[00:03:26.780 --> 00:03:27.250]   like
[00:03:27.250 --> 00:03:27.440]  ,
[00:03:27.440 --> 00:03:27.770]   for
[00:03:27.770 --> 00:03:28.550]   example
[00:03:28.550 --> 00:03:28.770]  ,
[00:03:28.770 --> 00:03:29.210]   when
[00:03:29.210 --> 00:03:29.320]   I
[00:03:29.320 --> 00:03:29.650]   was
[00:03:29.650 --> 00:03:30.210]   first
[00:03:30.210 --> 00:03:31.100]   learning
[00:03:31.100 --> 00:03:31.760]   French
[00:03:31.760 --> 00:03:32.020]  ,
[00:03:32.020 --> 00:03:32.210]   it
[00:03:32.210 --> 00:03:32.540]   was
[00:03:32.540 --> 00:03:33.560]   confusing
[00:03:33.560 --> 00:03:33.760]   to
[00:03:33.760 --> 00:03:35.320]   differentiate
[00:03:35.320 --> 00:03:35.330]  
[00:03:35.330 --> 00:03:36.010]   the
[00:03:36.010 --> 00:03:37.010]   sounds
[00:03:37.010 --> 00:03:37.010]   
[00:03:37.010 --> 00:03:37.570]  ich
[00:03:37.570 --> 00:03:37.950]   as
[00:03:37.950 --> 00:03:38.310]   in
[00:03:38.310 --> 00:03:38.310]   
[00:03:38.310 --> 00:03:38.870]  ich
[00:03:38.870 --> 00:03:39.240]   or
[00:03:39.240 --> 00:03:39.240]   
[00:03:39.240 --> 00:03:39.800]  ich
[00:03:39.800 --> 00:03:40.780]   like
[00:03:40.780 --> 00:03:41.110]   the
[00:03:41.110 --> 00:03:42.230]   street
[00:03:42.230 --> 00:03:42.240]   
[00:03:42.240 --> 00:03:42.830]  ich
[00:03:42.830 --> 00:03:43.360]   and
[00:03:43.360 --> 00:03:43.370]   
[00:03:43.370 --> 00:03:43.920]  ich
[00:03:43.920 --> 00:03:44.290]   as
[00:03:44.290 --> 00:03:44.660]   in
[00:03:44.660 --> 00:03:45.410]   like
[00:03:45.410 --> 00:03:46.030]   the
[00:03:46.030 --> 00:03:47.420]   English
[00:03:47.420 --> 00:03:47.420]   
[00:03:47.420 --> 00:03:47.520]  ich
[00:03:47.520 --> 00:03:49.000]  .
[00:03:49.000 --> 00:03:49.140]   I
[00:03:49.140 --> 00:03:50.160]   thought
[00:03:50.160 --> 00:03:50.570]   it
[00:03:50.570 --> 00:03:50.890]   was
[00:03:50.890 --> 00:03:51.330]   all
[00:03:51.330 --> 00:03:51.590]   
[00:03:51.590 --> 00:03:51.770]  ich
[00:03:51.770 --> 00:03:52.240]  .
[00:03:52.240 --> 00:03:52.330]   I
[00:03:52.330 --> 00:03:52.700]   didn
[00:03:52.700 --> 00:03:52.930]  't
[00:03:52.930 --> 00:03:53.530]   realize
[00:03:53.530 --> 00:03:53.990]   there
[00:03:53.990 --> 00:03:54.260]   was
[00:03:54.260 --> 00:03:54.920]   another
[00:03:54.920 --> 00:03:55.370]   sound
[00:03:55.370 --> 00:03:55.640]   and
[00:03:55.640 --> 00:03:55.820]   it
[00:03:55.820 --> 00:03:56.190]   took
[00:03:56.190 --> 00:03:56.370]   me
[00:03:56.370 --> 00:03:56.460]   a
[00:03:56.460 --> 00:03:57.020]   while
[00:03:57.020 --> 00:03:57.100]   to
[00:03:57.100 --> 00:03:58.030]   understand
[00:03:58.030 --> 00:03:58.470]   that
[00:03:58.470 --> 00:03:58.680]   those
[00:03:58.680 --> 00:03:59.090]   are
[00:03:59.090 --> 00:03:59.540]   two
[00:03:59.540 --> 00:04:00.740]   different
[00:04:00.740 --> 00:04:01.570]   sounds
[00:04:01.570 --> 00:04:01.840]   in
[00:04:01.840 --> 00:04:02.670]   French
[00:04:02.670 --> 00:04:03.120]  .
[00:04:03.120 --> 00:04:03.130]  
[00:04:03.130 --> 00:04:03.580]   Yeah
[00:04:03.580 --> 00:04:03.810]  ,
[00:04:03.810 --> 00:04:03.980]   I
[00:04:03.980 --> 00:04:04.380]   have
[00:04:04.380 --> 00:04:04.500]   a
[00:04:04.500 --> 00:04:05.300]   similar
[00:04:05.300 --> 00:04:06.510]   experience
[00:04:06.510 --> 00:04:06.980]   with
[00:04:06.980 --> 00:04:07.600]   Korean
