
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:00.280]   You
[00:00:39.060 --> 00:00:39.660]  .
[00:00:39.660 --> 00:00:40.070]   Hi
[00:00:40.070 --> 00:00:41.620]   Andrew
[00:00:41.620 --> 00:00:41.930]  .
[00:00:41.930 --> 00:00:42.550]   How
[00:00:42.550 --> 00:00:43.310]   are
[00:00:43.310 --> 00:00:43.840]   you
[00:00:43.840 --> 00:00:44.460]  ?
[00:00:44.460 --> 00:00:44.610]   I
[00:00:44.610 --> 00:00:44.900]  'm
[00:00:44.900 --> 00:00:45.480]   doing
[00:00:45.480 --> 00:00:46.030]   very
[00:00:46.030 --> 00:00:46.260]   well
[00:00:46.260 --> 00:00:46.420]  .
[00:00:46.420 --> 00:00:46.600]   And
[00:00:46.600 --> 00:00:46.770]   you
[00:00:46.770 --> 00:00:46.940]  ?
[00:00:46.940 --> 00:00:47.090]   How
[00:00:47.090 --> 00:00:47.380]   are
[00:00:47.380 --> 00:00:47.440]   you
[00:00:47.440 --> 00:00:47.500]  ?
[00:00:47.500 --> 00:00:47.740]   I
[00:00:47.740 --> 00:00:48.220]  'm
[00:00:48.220 --> 00:00:49.050]   doing
[00:00:49.050 --> 00:00:49.080]   very
[00:00:49.080 --> 00:00:49.270]  ,
[00:00:49.270 --> 00:00:49.650]   very
[00:00:49.650 --> 00:00:50.100]   well
[00:00:50.100 --> 00:00:50.320]  .
[00:00:50.320 --> 00:00:50.700]   That
[00:00:50.700 --> 00:00:50.890]   is
[00:00:50.890 --> 00:00:51.570]   awesome
[00:00:51.570 --> 00:00:51.850]  .
[00:00:51.850 --> 00:00:52.230]   Glad
[00:00:52.230 --> 00:00:52.660]   to
[00:00:52.660 --> 00:00:52.810]   hear
[00:00:52.810 --> 00:00:53.000]   it
[00:00:53.000 --> 00:00:53.380]  .
[00:00:53.380 --> 00:00:54.310]   Suzanne
[00:00:54.310 --> 00:00:54.350]  ,
[00:00:54.350 --> 00:00:54.580]   today
[00:00:54.580 --> 00:00:54.880]   we
[00:00:54.880 --> 00:00:55.100]   have
[00:00:55.100 --> 00:00:55.180]   a
[00:00:55.180 --> 00:00:55.230]  
[00:00:55.230 --> 00:00:55.480]   lot
[00:00:55.480 --> 00:00:56.010]   of
[00:00:56.010 --> 00:00:56.470]   material
[00:00:56.470 --> 00:00:56.670]   to
[00:00:56.670 --> 00:00:57.160]   cover
[00:00:57.160 --> 00:00:57.520]  .
[00:00:57.520 --> 00:00:57.650]   So
[00:00:57.650 --> 00:00:57.820]   I
[00:00:57.820 --> 00:00:58.240]   think
[00:00:58.240 --> 00:00:58.470]   we
[00:00:58.470 --> 00:00:59.030]   should
[00:00:59.030 --> 00:00:59.620]   get
[00:00:59.620 --> 00:00:59.820]   right
[00:00:59.820 --> 00:01:00.020]   to
[00:01:00.020 --> 00:01:00.220]   it
[00:01:00.220 --> 00:01:00.580]  .
[00:01:00.580 --> 00:01:00.740]   So
[00:01:00.740 --> 00:01:01.280]   today
[00:01:01.280 --> 00:01:01.310]  's
[00:01:01.310 --> 00:01:01.960]   episode
[00:01:01.960 --> 00:01:02.270]   is
[00:01:02.270 --> 00:01:02.570]   a
[00:01:02.570 --> 00:01:02.790]   "
[00:01:02.790 --> 00:01:03.040]  Spe
[00:01:03.040 --> 00:01:03.350]  ak
[00:01:03.350 --> 00:01:03.980]   Easy
[00:01:03.980 --> 00:01:04.130]  "
[00:01:04.130 --> 00:01:05.250]   episode
[00:01:05.250 --> 00:01:05.740]  .
[00:01:05.740 --> 00:01:05.850]   "
[00:01:05.850 --> 00:01:06.390]  Spe
[00:01:06.390 --> 00:01:06.410]  ak
[00:01:06.410 --> 00:01:06.860]   Easy
[00:01:06.860 --> 00:01:06.970]  "
[00:01:06.970 --> 00:01:07.200]   is
[00:01:07.200 --> 00:01:07.530]   the
[00:01:07.530 --> 00:01:08.210]   series
[00:01:08.210 --> 00:01:08.830]   where
[00:01:08.830 --> 00:01:09.110]   our
[00:01:09.110 --> 00:01:10.060]   resident
[00:01:10.060 --> 00:01:11.460]   pronunciation
[00:01:11.460 --> 00:01:12.100]   expert
[00:01:12.100 --> 00:01:12.850]   Suzanne
[00:01:12.850 --> 00:01:13.590]   teaches
[00:01:13.590 --> 00:01:13.810]   us
[00:01:13.810 --> 00:01:14.500]   some
[00:01:14.500 --> 00:01:14.670]   cool
[00:01:14.670 --> 00:01:16.190]   pronunciation
[00:01:16.190 --> 00:01:16.540]   tips
[00:01:16.540 --> 00:01:16.930]   that
[00:01:16.930 --> 00:01:17.340]   make
[00:01:17.340 --> 00:01:18.170]   our
[00:01:18.170 --> 00:01:18.460]   speech
[00:01:18.460 --> 00:01:19.090]   sound
[00:01:19.090 --> 00:01:19.590]   more
[00:01:19.590 --> 00:01:20.090]   like
[00:01:20.090 --> 00:01:20.210]   a
[00:01:20.210 --> 00:01:20.960]   native
[00:01:20.960 --> 00:01:21.960]   speakers
[00:01:21.960 --> 00:01:22.380]  .
[00:01:22.380 --> 00:01:22.580]   We
[00:01:22.580 --> 00:01:22.980]   learn
[00:01:22.980 --> 00:01:23.230]   how
[00:01:23.230 --> 00:01:23.470]   to
[00:01:23.470 --> 00:01:23.740]   talk
[00:01:23.740 --> 00:01:24.020]   the
[00:01:24.020 --> 00:01:24.220]   way
[00:01:24.220 --> 00:01:24.270]  
[00:01:24.270 --> 00:01:24.370]   native
[00:01:24.370 --> 00:01:24.580]   speakers
[00:01:24.580 --> 00:01:24.630]   do
[00:01:24.630 --> 00:01:24.870]  .
[00:01:24.870 --> 00:01:25.050]   P
[00:01:25.050 --> 00:01:25.320]  ron
[00:01:25.320 --> 00:01:26.100]  ounce
[00:01:26.100 --> 00:01:26.560]   the
[00:01:26.560 --> 00:01:26.970]   way
[00:01:26.970 --> 00:01:27.870]   native
[00:01:27.870 --> 00:01:29.090]   speakers
[00:01:29.090 --> 00:01:29.390]   do
[00:01:29.390 --> 00:01:29.880]  .
[00:01:29.880 --> 00:01:30.350]   So
[00:01:30.350 --> 00:01:31.160]   Suzanne
[00:01:31.160 --> 00:01:31.460]  ,
[00:01:31.460 --> 00:01:31.660]   what
[00:01:31.660 --> 00:01:32.360]   topic
[00:01:32.360 --> 00:01:32.490]   do
[00:01:32.490 --> 00:01:32.660]   you
[00:01:32.660 --> 00:01:33.060]   have
[00:01:33.060 --> 00:01:33.370]   for
[00:01:33.370 --> 00:01:33.560]   us
[00:01:33.560 --> 00:01:34.060]   today
[00:01:34.060 --> 00:01:34.400]  ?
[00:01:34.400 --> 00:01:34.660]   So
[00:01:34.660 --> 00:01:35.350]   today
[00:01:35.350 --> 00:01:35.620]   we
[00:01:35.620 --> 00:01:36.100]  're
[00:01:36.100 --> 00:01:36.710]   going
[00:01:36.710 --> 00:01:36.980]   to
[00:01:36.980 --> 00:01:37.520]   look
[00:01:37.520 --> 00:01:37.790]   at
[00:01:37.790 --> 00:01:38.380]   when
[00:01:38.380 --> 00:01:38.900]   to
[00:01:38.900 --> 00:01:39.380]   use
[00:01:39.380 --> 00:01:40.420]   the
[00:01:40.420 --> 00:01:40.600]   "
[00:01:40.600 --> 00:01:40.770]  S
[00:01:40.770 --> 00:01:41.250]  "
[00:01:41.250 --> 00:01:41.830]   sound
[00:01:41.830 --> 00:01:42.180]   or
[00:01:42.180 --> 00:01:42.360]   "
[00:01:42.360 --> 00:01:42.530]  S
[00:01:42.530 --> 00:01:42.760]  "
[00:01:42.760 --> 00:01:43.230]   the
[00:01:43.230 --> 00:01:43.400]   "
[00:01:43.400 --> 00:01:43.710]  Z
[00:01:43.710 --> 00:01:43.750]  "
[00:01:43.750 --> 00:01:44.860]   sound
[00:01:44.860 --> 00:01:44.990]   or
[00:01:44.990 --> 00:01:45.170]   "
[00:01:45.170 --> 00:01:45.340]  Z
[00:01:45.340 --> 00:01:45.660]  "
[00:01:45.660 --> 00:01:46.070]   or
[00:01:46.070 --> 00:01:46.740]   the
[00:01:46.740 --> 00:01:46.950]   "
[00:01:46.950 --> 00:01:47.410]  Is
[00:01:47.410 --> 00:01:47.630]  "
[00:01:47.630 --> 00:01:48.780]   sound
[00:01:48.780 --> 00:01:49.140]  .
[00:01:49.140 --> 00:01:50.000]   Whenever
[00:01:50.000 --> 00:01:50.140]   we
[00:01:50.140 --> 00:01:50.680]   have
[00:01:50.680 --> 00:01:51.020]   a
[00:01:51.020 --> 00:01:51.820]   plural
[00:01:51.820 --> 00:01:52.580]   word
[00:01:52.580 --> 00:01:52.630]  
[00:01:52.630 --> 00:01:52.890]   or
[00:01:52.890 --> 00:01:53.410]   a
[00:01:53.410 --> 00:01:53.820]   third
[00:01:53.820 --> 00:01:54.760]   person
[00:01:54.760 --> 00:01:56.010]   singular
[00:01:56.010 --> 00:01:57.020]   verb
[00:01:57.020 --> 00:01:57.150]  .
[00:01:57.150 --> 00:01:57.500]   Okay
[00:01:57.500 --> 00:01:57.820]  .
[00:01:57.820 --> 00:01:57.950]   So
[00:01:57.950 --> 00:01:58.130]   we
[00:01:58.130 --> 00:01:58.390]   are
[00:01:58.390 --> 00:01:59.030]   looking
[00:01:59.030 --> 00:01:59.240]   at
[00:01:59.240 --> 00:01:59.480]   the
[00:01:59.480 --> 00:02:00.030]   final
[00:02:00.030 --> 00:02:00.300]   sound
[00:02:00.300 --> 00:02:00.580]   on
[00:02:00.580 --> 00:02:00.660]   a
[00:02:00.660 --> 00:02:01.490]   plural
[00:02:01.490 --> 00:02:01.500]   or
[00:02:01.500 --> 00:02:02.030]   third
[00:02:02.030 --> 00:02:02.660]   person
[00:02:02.660 --> 00:02:03.500]   singular
[00:02:03.500 --> 00:02:04.030]   words
[00:02:04.030 --> 00:02:04.330]  .
[00:02:04.330 --> 00:02:04.640]   And
[00:02:04.640 --> 00:02:05.100]   this
[00:02:05.100 --> 00:02:05.380]   can
[00:02:05.380 --> 00:02:06.010]   appear
[00:02:06.010 --> 00:02:06.220]   in
[00:02:06.220 --> 00:02:06.820]   three
[00:02:06.820 --> 00:02:07.420]   different
[00:02:07.420 --> 00:02:08.250]   ways
[00:02:08.250 --> 00:02:08.300]  ,
[00:02:08.300 --> 00:02:09.040]   right
[00:02:09.040 --> 00:02:09.480]  ?
[00:02:09.480 --> 00:02:09.620]   A
[00:02:09.620 --> 00:02:09.750]   "
[00:02:09.750 --> 00:02:09.900]  Z
[00:02:09.900 --> 00:02:10.070]  "
[00:02:10.070 --> 00:02:10.330]   or
[00:02:10.330 --> 00:02:10.470]   "
[00:02:10.470 --> 00:02:10.760]  Is
[00:02:10.760 --> 00:02:10.940]  "
[00:02:10.940 --> 00:02:11.860]   form
[00:02:11.860 --> 00:02:12.020]  .
[00:02:12.020 --> 00:02:12.660]   Exactly
[00:02:12.660 --> 00:02:12.880]  .
[00:02:12.880 --> 00:02:13.050]   It
[00:02:13.050 --> 00:02:13.220]  's
[00:02:13.220 --> 00:02:13.740]   always
[00:02:13.740 --> 00:02:14.290]   gonna
[00:02:14.290 --> 00:02:14.340]   be
[00:02:14.340 --> 00:02:14.510]   an
[00:02:14.510 --> 00:02:14.590]   "
[00:02:14.590 --> 00:02:14.670]  S
[00:02:14.670 --> 00:02:14.740]  "
[00:02:14.740 --> 00:02:15.140]   in
[00:02:15.140 --> 00:02:15.700]   written
[00:02:15.700 --> 00:02:16.530]  
[00:02:16.530 --> 00:02:16.590]   English
[00:02:16.590 --> 00:02:16.970]  .
[00:02:16.970 --> 00:02:17.350]   But
[00:02:17.350 --> 00:02:17.600]   in
[00:02:17.600 --> 00:02:18.350]   spoken
[00:02:18.350 --> 00:02:19.250]   English
[00:02:19.250 --> 00:02:19.500]   it
[00:02:19.500 --> 00:02:20.140]   will
[00:02:20.140 --> 00:02:20.250]   be
[00:02:20.250 --> 00:02:21.010]   either
[00:02:21.010 --> 00:02:21.130]   a
[00:02:21.130 --> 00:02:21.250]   "
[00:02:21.250 --> 00:02:21.360]  S
[00:02:21.360 --> 00:02:21.490]  "
[00:02:21.490 --> 00:02:21.790]   or
[00:02:21.790 --> 00:02:21.860]   "
[00:02:21.860 --> 00:02:22.110]  Is
[00:02:22.110 --> 00:02:22.700]  ".
[00:02:22.700 --> 00:02:22.800]   All
[00:02:22.800 --> 00:02:22.980]   right
[00:02:22.980 --> 00:02:23.000]  .
[00:02:23.000 --> 00:02:23.420]   Awesome
[00:02:23.420 --> 00:02:23.460]  .
[00:02:23.460 --> 00:02:23.860]   Well
[00:02:23.860 --> 00:02:24.160]   I
[00:02:24.160 --> 00:02:24.290]  'm
[00:02:24.290 --> 00:02:24.560]   very
[00:02:24.560 --> 00:02:25.340]   excited
[00:02:25.340 --> 00:02:25.470]   to
[00:02:25.470 --> 00:02:25.790]   dig
[00:02:25.790 --> 00:02:25.970]   in
[00:02:25.970 --> 00:02:26.170]   to
[00:02:26.170 --> 00:02:26.560]   this
[00:02:26.560 --> 00:02:27.080]   topic
[00:02:27.080 --> 00:02:27.400]   but
[00:02:27.400 --> 00:02:27.900]   just
[00:02:27.900 --> 00:02:28.390]   before
[00:02:28.390 --> 00:02:28.590]   we
[00:02:28.590 --> 00:02:28.790]   do
[00:02:28.790 --> 00:02:29.300]   that
[00:02:29.300 --> 00:02:30.220]   everyone
[00:02:30.220 --> 00:02:30.410]   we
[00:02:30.410 --> 00:02:30.940]  'd
[00:02:30.940 --> 00:02:31.060]   like
[00:02:31.060 --> 00:02:31.180]   to
[00:02:31.180 --> 00:02:31.770]   remind
[00:02:31.770 --> 00:02:32.100]   you
[00:02:32.100 --> 00:02:32.450]   that
[00:02:32.450 --> 00:02:32.860]   the
[00:02:32.860 --> 00:02:33.230]   study
[00:02:33.230 --> 00:02:33.740]   guide
[00:02:33.740 --> 00:02:34.010]   for
[00:02:34.010 --> 00:02:34.660]   this
[00:02:34.660 --> 00:02:35.090]   episode
[00:02:35.090 --> 00:02:35.380]   is
[00:02:35.380 --> 00:02:36.060]   available
[00:02:36.060 --> 00:02:36.740]   for
[00:02:36.740 --> 00:02:37.570]  
[00:02:37.570 --> 00:02:37.750]   download
[00:02:37.750 --> 00:02:38.000]   on
[00:02:38.000 --> 00:02:38.380]   our
[00:02:38.380 --> 00:02:39.380]   website
[00:02:39.380 --> 00:02:40.030]   which
[00:02:40.030 --> 00:02:40.140]   is
[00:02:40.140 --> 00:02:40.260]   q
[00:02:40.260 --> 00:02:40.370]  l
[00:02:40.370 --> 00:02:41.120]  ips
[00:02:41.120 --> 00:02:41.180]  .
[00:02:41.180 --> 00:02:41.490]  com
[00:02:41.490 --> 00:02:41.860]  .
[00:02:41.860 --> 00:02:41.980]   C
[00:02:41.980 --> 00:02:42.100]  -
[00:02:42.100 --> 00:02:42.220]  U
[00:02:42.220 --> 00:02:42.340]  -
[00:02:42.340 --> 00:02:42.460]  L
[00:02:42.460 --> 00:02:42.580]  -
[00:02:42.580 --> 00:02:42.820]  I
[00:02:42.820 --> 00:02:42.850]  -
[00:02:42.850 --> 00:02:42.940]  P
[00:02:42.940 --> 00:02:43.060]  -
[00:02:43.060 --> 00:02:43.180]  S
[00:02:43.180 --> 00:02:43.610]  .
[00:02:43.610 --> 00:02:43.920]  com
[00:02:43.920 --> 00:02:44.280]  .
[00:02:44.280 --> 00:02:44.670]   And
[00:02:44.670 --> 00:02:44.800]   I
[00:02:44.800 --> 00:02:45.620]   think
[00:02:45.620 --> 00:02:45.740]   the
[00:02:45.740 --> 00:02:45.980]   best
[00:02:45.980 --> 00:02:46.300]   way
[00:02:46.300 --> 00:02:47.000]   to
[00:02:47.000 --> 00:02:47.130]   study
[00:02:47.130 --> 00:02:47.400]   with
[00:02:47.400 --> 00:02:47.800]   this
[00:02:47.800 --> 00:02:48.500]   episode
[00:02:48.500 --> 00:02:48.700]   is
[00:02:48.700 --> 00:02:49.100]   with
[00:02:49.100 --> 00:02:49.390]   the
[00:02:49.390 --> 00:02:49.900]   study
[00:02:49.900 --> 00:02:50.700]   guide
[00:02:50.700 --> 00:02:50.740]  .
[00:02:50.740 --> 00:02:51.000]   You
[00:02:51.000 --> 00:02:51.300]  'll
[00:02:51.300 --> 00:02:51.900]   really
[00:02:51.900 --> 00:02:52.430]   get
[00:02:52.430 --> 00:02:52.520]   the
[00:02:52.520 --> 00:02:52.780]   most
[00:02:52.780 --> 00:02:53.010]   out
[00:02:53.010 --> 00:02:53.260]   of
[00:02:53.260 --> 00:02:53.610]   the
[00:02:53.610 --> 00:02:53.920]   content
[00:02:53.920 --> 00:02:54.220]   that
[00:02:54.220 --> 00:02:54.450]   Sue
[00:02:54.450 --> 00:02:54.760]   will
[00:02:54.760 --> 00:02:55.120]   share
[00:02:55.120 --> 00:02:55.430]   with
[00:02:55.430 --> 00:02:55.580]   us
[00:02:55.580 --> 00:02:55.870]   here
[00:02:55.870 --> 00:02:56.180]   with
[00:02:56.180 --> 00:02:56.400]   the
[00:02:56.400 --> 00:02:57.170]   study
[00:02:57.170 --> 00:02:57.220]   guide
[00:02:57.220 --> 00:02:57.460]  .
[00:02:57.460 --> 00:02:57.780]   So
[00:02:57.780 --> 00:02:58.540]   why
[00:02:58.540 --> 00:02:58.850]   don
[00:02:58.850 --> 00:02:59.360]  't
[00:02:59.360 --> 00:02:59.380]   you
[00:02:59.380 --> 00:02:59.880]   visit
[00:02:59.880 --> 00:02:59.980]   q
[00:02:59.980 --> 00:03:00.090]  l
[00:03:00.090 --> 00:03:00.420]  ips
[00:03:00.420 --> 00:03:00.700]  .
[00:03:00.700 --> 00:03:01.010]  com
[00:03:01.010 --> 00:03:01.210]  ,
[00:03:01.210 --> 00:03:01.630]   pick
[00:03:01.630 --> 00:03:01.840]   it
[00:03:01.840 --> 00:03:02.060]   up
[00:03:02.060 --> 00:03:02.360]   and
[00:03:02.360 --> 00:03:02.980]   then
[00:03:02.980 --> 00:03:03.200]   turn
[00:03:03.200 --> 00:03:03.410]   us
[00:03:03.410 --> 00:03:03.830]   back
[00:03:03.830 --> 00:03:04.040]   on
[00:03:04.040 --> 00:03:04.420]  .
[00:03:04.420 --> 00:03:04.740]   I
[00:03:04.740 --> 00:03:05.540]   think
[00:03:05.540 --> 00:03:05.640]   that
[00:03:05.640 --> 00:03:05.700]  's
[00:03:05.700 --> 00:03:05.780]   a
[00:03:05.780 --> 00:03:05.830]  
[00:03:05.830 --> 00:03:06.090]   good
[00:03:06.090 --> 00:03:06.490]   way
[00:03:06.490 --> 00:03:06.610]   to
[00:03:06.610 --> 00:03:06.650]   do
[00:03:06.650 --> 00:03:06.810]   it
[00:03:06.810 --> 00:03:06.970]   to
[00:03:06.970 --> 00:03:07.440]   follow
[00:03:07.440 --> 00:03:07.830]   along
[00:03:07.830 --> 00:03:08.140]   with
[00:03:08.140 --> 00:03:08.420]   us
[00:03:08.420 --> 00:03:08.460]   in
[00:03:08.460 --> 00:03:08.700]   the
[00:03:08.700 --> 00:03:09.090]   study
[00:03:09.090 --> 00:03:09.480]   guide
[00:03:09.480 --> 00:03:10.220]  .
[00:03:10.220 --> 00:03:10.420]   So
[00:03:10.420 --> 00:03:11.190]   anyway
[00:03:11.190 --> 00:03:11.580]   Sue
[00:03:11.580 --> 00:03:11.820]   let
[00:03:11.820 --> 00:03:11.820]  's
[00:03:11.820 --> 00:03:12.650]   get
[00:03:12.650 --> 00:03:13.020]   started
[00:03:13.020 --> 00:03:13.380]   and
[00:03:13.380 --> 00:03:13.700]   we
[00:03:13.700 --> 00:03:13.980]  're
[00:03:13.980 --> 00:03:14.820]   looking
[00:03:14.820 --> 00:03:15.110]   at
[00:03:15.110 --> 00:03:15.180]   "
[00:03:15.180 --> 00:03:15.340]  S
[00:03:15.340 --> 00:03:15.420]  "
[00:03:15.420 --> 00:03:15.780]   and
[00:03:15.780 --> 00:03:16.020]   "
[00:03:16.020 --> 00:03:16.140]  Z
[00:03:16.140 --> 00:03:16.260]  "
[00:03:16.260 --> 00:03:16.620]   plur
[00:03:16.620 --> 00:03:16.980]  als
[00:03:16.980 --> 00:03:17.380]  .
[00:03:17.380 --> 00:03:17.710]   So
[00:03:17.710 --> 00:03:18.480]   yeah
[00:03:18.480 --> 00:03:19.060]   what
[00:03:19.060 --> 00:03:19.700]   is
[00:03:19.700 --> 00:03:19.860]   it
[00:03:19.860 --> 00:03:19.970]  ?
[00:03:19.970 --> 00:03:20.060]   What
[00:03:20.060 --> 00:03:20.180]   is
[00:03:20.180 --> 00:03:20.340]   an
[00:03:20.340 --> 00:03:20.420]   "
[00:03:20.420 --> 00:03:20.500]  S
[00:03:20.500 --> 00:03:20.820]  "
[00:03:20.820 --> 00:03:21.010]   and
[00:03:21.010 --> 00:03:21.150]   what
[00:03:21.150 --> 00:03:21.310]   is
[00:03:21.310 --> 00:03:21.390]   a
[00:03:21.390 --> 00:03:21.470]   "
[00:03:21.470 --> 00:03:21.550]  Z
[00:03:21.550 --> 00:03:21.630]  "
[00:03:21.630 --> 00:03:22.120]   plural
[00:03:22.120 --> 00:03:22.420]  ?
[00:03:22.420 --> 00:03:22.990]   Yeah
[00:03:22.990 --> 00:03:23.260]   so
[00:03:23.260 --> 00:03:23.840]   when
[00:03:23.840 --> 00:03:24.620]   words
[00:03:24.620 --> 00:03:24.980]   are
[00:03:24.980 --> 00:03:25.840]   plural
[00:03:25.840 --> 00:03:26.410]   like
[00:03:26.410 --> 00:03:27.050]   when
[00:03:27.050 --> 00:03:27.120]   you
[00:03:27.120 --> 00:03:27.220]  're
[00:03:27.220 --> 00:03:28.050]  
[00:03:28.050 --> 00:03:29.220]   describing
[00:03:29.220 --> 00:03:29.860]   one
[00:03:29.860 --> 00:03:30.220]   or
[00:03:30.220 --> 00:03:31.020]   more
[00:03:31.020 --> 00:03:31.660]   of
[00:03:31.660 --> 00:03:33.350]   something
[00:03:33.350 --> 00:03:34.090]   like
[00:03:34.090 --> 00:03:35.040]   books
[00:03:35.040 --> 00:03:35.420]   or
[00:03:35.420 --> 00:03:37.480]   vacations
[00:03:37.480 --> 00:03:37.660]   or
[00:03:37.660 --> 00:03:39.220]   boxes
[00:03:39.220 --> 00:03:40.060]   you
[00:03:40.060 --> 00:03:40.720]   will
[00:03:40.720 --> 00:03:40.940]   add
[00:03:40.940 --> 00:03:41.160]   an
[00:03:41.160 --> 00:03:41.270]   "
[00:03:41.270 --> 00:03:41.380]  S
[00:03:41.380 --> 00:03:41.660]  "
[00:03:41.660 --> 00:03:41.780]   at
[00:03:41.780 --> 00:03:42.040]   the
[00:03:42.040 --> 00:03:42.370]   end
[00:03:42.370 --> 00:03:42.590]   of
[00:03:42.590 --> 00:03:42.920]   the
[00:03:42.920 --> 00:03:43.690]   written
[00:03:43.690 --> 00:03:44.230]   word
[00:03:44.230 --> 00:03:44.350]   to
[00:03:44.350 --> 00:03:44.790]   make
[00:03:44.790 --> 00:03:45.380]   it
[00:03:45.380 --> 00:03:45.670]   plural
[00:03:45.670 --> 00:03:46.000]   but
[00:03:46.000 --> 00:03:46.440]   when
[00:03:46.440 --> 00:03:46.770]   you
[00:03:46.770 --> 00:03:47.320]   speak
[00:03:47.320 --> 00:03:47.740]   the
[00:03:47.740 --> 00:03:48.560]  
[00:03:48.560 --> 00:03:48.590]   plural
[00:03:48.590 --> 00:03:49.160]   word
[00:03:49.160 --> 00:03:49.620]   you
[00:03:49.620 --> 00:03:50.080]   can
[00:03:50.080 --> 00:03:50.570]   have
[00:03:50.570 --> 00:03:51.270]   three
[00:03:51.270 --> 00:03:52.560]   different
[00:03:52.560 --> 00:03:53.400]   sounds
[00:03:53.400 --> 00:03:53.870]  .
[00:03:53.870 --> 00:03:54.110]   So
[00:03:54.110 --> 00:03:54.680]   when
